EmployeeNumber,BurnoutRisk,Priority,Urgency_Note,Num_Interventions,Interventions
21,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, low job satisfaction, very poor environment satisfaction.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
22,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, low monthly income (financial stress).",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
23,Medium,MODERATE,Key drivers: very poor environment satisfaction.,3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Discuss career growth pathway and set a promotion timeline
24,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
26,Medium,MODERATE,"Key drivers: below-average work-life balance, very poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
27,Medium,MODERATE,Key drivers: very low job satisfaction.,2,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer
28,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction, long tenure with low satisfaction.",5,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
30,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
31,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",6,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
32,Medium,MODERATE,Key drivers: below-average work-life balance.,2,Offer optional wellness / mindfulness sessions | Discuss career growth pathway and set a promotion timeline
33,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, poor environment satisfaction, 6 years without promotion, frequent business travel.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
35,Low,WATCH,Key drivers: low job satisfaction.,3,Schedule a manager-employee feedback session | Discuss career growth pathway and set a promotion timeline | Implement a peer-recognition and rewards programme
36,Medium,MODERATE,"Key drivers: very poor environment satisfaction, 5 years without promotion.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments
38,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, poor environment satisfaction.",5,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
39,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
40,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
41,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
42,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
45,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, poor environment satisfaction, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
46,Medium,MODERATE,"Key drivers: below-average work-life balance, low monthly income (financial stress).",3,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
47,High,CRITICAL,"Key drivers: working overtime, very poor environment satisfaction, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
49,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
51,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, poor environment satisfaction.",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
52,Medium,HIGH,"Key drivers: very low job satisfaction, frequent business travel.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
53,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
54,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
55,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction, low monthly income (financial stress).",5,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
56,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
57,Low,WATCH,Key drivers: frequent business travel.,2,Discuss career growth pathway and set a promotion timeline | Reduce business travel frequency or offer travel allowance
58,Medium,MODERATE,"Key drivers: poor environment satisfaction, 15 years without promotion.",2,Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
60,Low,WATCH,"Key drivers: poor environment satisfaction, 8 years without promotion.",2,Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
61,Medium,MODERATE,"Key drivers: low job satisfaction, poor environment satisfaction.",2,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions
62,Medium,HIGH,"Key drivers: working overtime, very poor environment satisfaction, frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
63,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
64,Medium,HIGH,"Key drivers: working overtime, very poor environment satisfaction.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Review compensation relative to job level and market rates
65,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
68,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very low job satisfaction, poor environment satisfaction.",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
70,Medium,HIGH,"Key drivers: working overtime, very low job satisfaction.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
72,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
73,High,CRITICAL,"Key drivers: working overtime, very poor environment satisfaction, 8 years without promotion, frequent business travel.",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
74,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, poor environment satisfaction, frequent business travel.",5,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance
75,Medium,HIGH,"Key drivers: working overtime, very low job satisfaction.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
76,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
77,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
78,Medium,HIGH,"Key drivers: working overtime, very poor environment satisfaction, 7 years without promotion.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments
79,Low,WATCH,"Key drivers: low monthly income (financial stress), 9 years without promotion, frequent business travel.",4,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance
80,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, poor environment satisfaction, 13 years without promotion.",7,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
81,High,CRITICAL,"Key drivers: below-average work-life balance, very low job satisfaction, very poor environment satisfaction, 7 years without promotion, long tenure with low satisfaction.",10,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
83,Low,WATCH,Key drivers: 12 years without promotion.,1,Fast-track promotion review or provide stretch assignments
84,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
85,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, frequent business travel.",4,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
86,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
88,High,CRITICAL,"Key drivers: below-average work-life balance, very low job satisfaction, poor environment satisfaction, low monthly income (financial stress), frequent business travel.",10,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
90,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
91,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction, frequent business travel.",4,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
94,Medium,MODERATE,"Key drivers: low job satisfaction, low monthly income (financial stress).",3,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
95,Medium,HIGH,"Key drivers: low job satisfaction, low monthly income (financial stress).",4,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
96,Medium,MODERATE,"Key drivers: low job satisfaction, poor environment satisfaction.",3,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
97,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
98,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
100,Medium,HIGH,"Key drivers: very low job satisfaction, long tenure with low satisfaction.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
101,Medium,HIGH,"Key drivers: working overtime, very low job satisfaction.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
102,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
103,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, poor environment satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions
104,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Discuss career growth pathway and set a promotion timeline
105,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
106,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
107,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
110,Medium,HIGH,"Key drivers: low job satisfaction, very poor environment satisfaction.",4,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Implement a peer-recognition and rewards programme
112,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
113,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
116,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
117,Low,WATCH,Key drivers: 10 years without promotion.,1,Fast-track promotion review or provide stretch assignments
118,Low,WATCH,No critical stress signals detected. Monitor regularly.,1,Discuss career growth pathway and set a promotion timeline
119,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, 11 years without promotion, long tenure with low satisfaction, frequent business travel.",5,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance
120,Medium,HIGH,"Key drivers: working overtime, very poor work-life balance.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly)
121,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, low job satisfaction, long tenure with low satisfaction.",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
124,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very low job satisfaction, 9 years without promotion, frequent business travel.",10,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
125,Medium,MODERATE,"Key drivers: poor environment satisfaction, 5 years without promotion.",2,Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
126,Medium,HIGH,"Key drivers: very poor work-life balance, very poor environment satisfaction.",4,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
128,Medium,MODERATE,"Key drivers: below-average work-life balance, very poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
129,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
131,Medium,MODERATE,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
132,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
133,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
134,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
137,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress), frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
138,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
139,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
140,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
141,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, low job satisfaction, very poor environment satisfaction, frequent business travel.",10,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
142,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
143,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
144,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
145,High,CRITICAL,"Key drivers: below-average work-life balance, very low job satisfaction, very poor environment satisfaction, 12 years without promotion, long tenure with low satisfaction, frequent business travel.",10,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
147,Medium,HIGH,"Key drivers: working overtime, very poor environment satisfaction, frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
148,Medium,MODERATE,Key drivers: working overtime.,3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Discuss career growth pathway and set a promotion timeline
150,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
151,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
152,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
153,Medium,HIGH,"Key drivers: very low job satisfaction, 5 years without promotion, long tenure with low satisfaction.",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
154,Low,WATCH,"Key drivers: poor environment satisfaction, frequent business travel.",2,Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance
155,Medium,HIGH,"Key drivers: very poor environment satisfaction, low monthly income (financial stress).",4,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
158,Medium,HIGH,"Key drivers: working overtime, frequent business travel.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Discuss career growth pathway and set a promotion timeline | Reduce business travel frequency or offer travel allowance
159,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction, low monthly income (financial stress), frequent business travel.",6,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
160,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
161,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, poor environment satisfaction.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Discuss career growth pathway and set a promotion timeline | Implement a peer-recognition and rewards programme
162,Medium,MODERATE,"Key drivers: very poor environment satisfaction, 15 years without promotion.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments
163,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, poor environment satisfaction, 7 years without promotion.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
164,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, low monthly income (financial stress).",6,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline | Implement a peer-recognition and rewards programme
165,Medium,MODERATE,"Key drivers: below-average work-life balance, 15 years without promotion.",2,Offer optional wellness / mindfulness sessions | Fast-track promotion review or provide stretch assignments
167,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, low monthly income (financial stress).",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
169,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
